date,value
All Business,1360
All Business,1460
All Business,2740
All Business,14420
All Business,1600
All Business,2700
All Business,2960
All Business,1980
All Business,10920
All Business,9880
All Business,11140
All Business,380
All Business,840
All Business,2700
All Business,2300
All Business,1200
All Business,6820
All Business,6260
All Business,10960
All Business,3680
All Business,6680
All Business,6560
All Business,580
All Business,4820
All Business,1560
All Business,5100
All Business,5960
All Business,1180
All Business,2420
All Business,3960
All Business,7580
All Business,5620
All Business,3440
All Business,12540
All Business,2180
All Business,2000
All Business,1960
All Business,2180
All Business,6240
All Business,8040
All Business,3620
All Business,1780
All Business,17160
All Business,1240
All Business,9540
All Business,2300
All Business,5620
All Business,5160
All Business,5000
All Business,6560
All Business,1380
All Business,11000
All Business,6700
All Business,10300
All Business,3560
All Business,860
All Business,840
All Business,960
All Business,5100
All Business,1880
All Business,4360
All Business,9940
All Business,1920
All Business,48680
All Business,31180
All Business,1940
All Business,6360
All Business,3720
All Business,7340
All Business,11940
All Business,5500
All Business,16880
All Business,5100
All Business,18660
All Business,51000
All Business,17480
All Business,4260
All Business,55740
All Business,42800
All Business,10680
All Business,2580
All Business,11340
All Business,31940
All Business,33240
All Business,6680
All Business,4960
All Business,23180
All Business,20
All Business,11040
All Business,16100
All Business,4960
All Business,94380
All Business,740
All Business,5520
All Business,1820
All Business,3580
All Business,30940
All Business,5440
All Business,26640
All Business,4080
All Business,25140
All Business,6700
All Business,3640
All Business,10300
All Business,2640
All Business,26420
All Business,160
All Business,4860
All Business,14140
All Business,10360
All Business,1380
All Business,7000
All Business,7680
All Business,3380
All Business,11780
All Business,3480
All Business,6900
All Business,9560
All Business,4680
All Business,2420
All Business,55260
All Business,6340
All Business,3120
All Business,20260
All Business,3600
All Business,3520
All Business,21440
All Business,1560
All Business,6160
All Business,4860
All Business,840
All Business,5220
All Business,6220
All Business,9920
All Business,6960
All Business,2020
All Business,2260
All Business,4280
All Business,20580
All Business,11280
All Business,26880
All Business,3940
All Business,30740
All Business,8520
All Business,2760
All Business,5940
All Business,5160
All Business,4420
All Business,6320
All Business,4100
All Business,12800
All Business,25140
All Business,3720
All Business,9540
All Business,8780
All Business,7040
All Business,15140
All Business,23660
All Business,10660
All Business,27400
All Business,5560
All Business,12540
All Business,5360
All Business,3140
All Business,9540
All Business,19320
All Business,8440
All Business,4220
All Business,18120
All Business,23580
All Business,79560
All Business,300
All Business,3700
All Business,9160
All Business,20
All Business,9440
All Business,4700
All Business,4740
All Business,4400
All Business,4120
All Business,6380
All Business,4580
All Business,6980
All Business,11620
All Business,3160
All Business,820
All Business,6000
All Business,9940
All Business,39920
All Business,120
All Business,9340
All Business,7220
All Business,3740
All Business,5100
All Business,14840
All Business,12580
All Business,6720
All Business,10380
All Business,900
All Business,3040
All Business,1780
All Business,6160
All Business,8600
All Business,9480
All Business,2280
All Business,6140
All Business,22560
All Business,8340
All Business,6000
All Business,11380
All Business,5400
All Business,3620
All Business,3800
All Business,17760
All Business,300
All Business,5640
All Business,8440
All Business,9660
All Business,1600
All Business,2540
All Business,4560
All Business,8240
All Business,2280
All Business,7960
All Business,3660
All Business,2700
All Business,2700
All Business,820
All Business,3360
All Business,3180
All Business,1900
All Business,2200
All Business,7140
All Business,7700
All Business,4340
All Business,2580
All Business,440
All Business,10020
All Business,1760
All Business,9360
All Business,1860
All Business,2100
All Business,4940
All Business,10160
All Business,4580
All Business,7340
All Business,300
All Business,3880
All Business,14200
All Business,2820
All Business,460
All Business,4060
All Business,71340
All Business,8220
All Business,2500
All Business,6460
All Business,680
All Business,2900
All Business,40
All Business,2560
All Business,9580
All Business,4340
All Business,14300
All Business,4220
All Business,21340
All Business,720
All Business,8140
All Business,2640
All Business,5400
All Business,1120
All Business,3540
All Business,18240
All Business,2100
All Business,10980
All Business,2000
All Business,4800
All Business,12320
All Business,18920
All Business,3280
All Business,880
All Business,2960
All Business,6320
All Business,4620
All Business,5760
All Business,4760
All Business,4780
All Business,10220
All Business,8340
All Business,2680
All Business,2040
All Business,4900
All Business,3700
All Business,7080
All Business,700
All Business,2120
All Business,6080
All Business,500
All Business,1220
All Business,35960
All Business,1740
All Business,240
All Business,3600
All Business,1700
All Business,5840
All Business,900
All Business,6200
All Business,4500
All Business,500
All Business,1240
All Business,13160
All Business,13100
All Business,4720
All Business,740
All Business,4440
All Business,2380
All Business,7460
All Business,12020
All Business,5080
All Business,1440
All Business,27820
All Business,3880
All Business,6280
All Business,2740
All Business,3800
All Business,5240
All Business,1920
All Business,900
All Business,61880
All Business,9020
All Business,11540
All Business,6980
All Business,16380
All Business,7460
All Business,440
All Business,1560
All Business,820
All Business,4500
All Business,2680
All Business,280
All Business,6260
All Business,4840
All Business,9680
All Business,5980
All Business,10400
All Business,5220
All Business,10980
All Business,1200
All Business,19180
All Business,9960
All Business,13020
All Business,2280
All Business,9140
All Business,860
All Business,4300
All Business,3840
All Business,18420
All Business,12220
All Business,6680
All Business,21260
All Business,2780
All Business,4040
All Business,2920
All Business,2400
All Business,2440
All Business,11780
All Business,680
All Business,17000
All Business,5740
All Business,14480
All Business,1980
All Business,2480
All Business,6240
All Business,13100
All Business,11740
All Business,2000
All Business,4740
All Business,12300
All Business,157000
All Business,8580
All Business,22540
All Business,5480
All Business,18580
All Business,8380
All Business,11640
All Business,2080
All Business,960
All Business,12500
All Business,7040
All Business,14180
All Business,23380
All Business,5420
All Business,3740
All Business,5440
All Business,3140
All Business,2820
All Business,1120
All Business,5260
All Business,1580
All Business,1040
All Business,1120
All Business,7020
All Business,6860
All Business,300
All Business,15960
All Business,760
All Business,9920
All Business,9160
All Business,2320
All Business,3200
All Business,2620
All Business,400
All Business,5440
All Business,1940
All Business,2160
All Business,4900
All Business,3540
All Business,1280
All Business,5820
All Business,6920
All Business,3820
All Business,26780
All Business,4540
All Business,4520
All Business,900
All Business,8660
All Business,800
All Business,12000
All Business,1640
All Business,24940
All Business,17580
All Business,5020
All Business,5160
All Business,22920
All Business,320
All Business,820
All Business,120
All Business,180
All Business,3400
All Business,600
All Business,580
All Business,280
All Business,120
All Business,80
All Business,400
All Business,560
All Business,100
All Business,320
All Business,60
All Business,380
All Business,760
All Business,120
All Business,620
All Business,100
All Business,20
All Business,40
All Business,200
All Business,60
All Business,40
All Business,220
All Business,100
All Business,200
All Business,3640
All Business,340
All Business,120
All Business,1840
All Business,2100
All Business,820
All Business,7460
All Business,10120
All Business,520
All Business,35700
All Business,33760
All Business,840
All Business,323100
All Business,19300
All Business,23280
All Business,2960
All Business,1280
All Business,1720
All Business,5400
All Business,12420
All Business,16920
All Business,5680
All Business,360
All Business,1100
All Business,4620
All Business,460
All Business,5880
All Business,44880
All Business,48080
All Business,25320
All Business,8720
All Business,8160
All Business,5220
All Business,1340
All Business,25800
All Business,640
All Business,8180
All Business,22300
All Business,4340
All Business,3340
All Business,10420
All Business,740
All Business,19680
All Business,14000
All Business,97920
All Business,640
All Business,8640
All Business,2340
All Business,9460
All Business,170940
All Business,12280
All Business,1080
All Business,1360
All Business,3540
All Business,2940
All Business,3020
All Business,2840
All Business,10780
All Business,9120
All Business,700
All Business,14280
All Business,13340
All Business,89040
All Business,11260
All Business,10580
All Business,6840
All Business,3960
All Business,1500
All Business,7460
All Business,4480
All Business,4040
All Business,1000
All Business,2460
All Business,10520
All Business,3800
All Business,8840
All Business,11000
All Business,52040
All Business,2640
All Business,17180
All Business,59900
All Business,2480
All Business,61760
All Business,7940
All Business,28020
All Business,8680
All Business,37540
All Business,11260
All Business,3800
All Business,39120
All Business,61700
All Business,6520
All Business,5840
All Business,4880
All Business,2300
All Business,7700
All Business,53440
All Business,5640
All Business,26740
All Business,3680
All Business,18240
All Business,2180
All Business,760
All Business,11700
All Business,41820
All Business,3280
All Business,4760
All Business,34480
All Business,48760
All Business,38180
All Business,1100
All Business,39720
All Business,2560
