Time,Published,Views
2018-07-01,3774,6894440
2018-07-02,4526,10072740
2018-07-03,4638,9552560
2018-07-04,4324,8156280
2018-07-05,3884,7378440
2018-07-06,4195,8452860
2018-07-07,4232,8779480
2018-07-08,4191,9321660
2018-07-09,4269,9342300
2018-07-10,4494,9505140
2018-07-11,4658,9099960
2018-07-12,4504,7905940
2018-07-13,3761,6687800
2018-07-14,3650,6924920
2018-07-15,4185,9106760
2018-07-16,4399,8581500
2018-07-17,3617,7534860
2018-07-18,3908,8674760
2018-07-19,3550,7778920
2018-07-20,3417,7386120
2018-07-21,2972,6031240
2018-07-22,3129,6806980
2018-07-23,3510,7572140
2018-07-24,3666,7267060
