Time,Published,Views
2018-07-01 00:00:00,1,41140
2018-07-01 01:00:00,0,34820
2018-07-01 02:00:00,0,31120
2018-07-01 03:00:00,2,30140
2018-07-01 04:00:00,3,29320
2018-07-01 05:00:00,2,29200
2018-07-01 06:00:00,2,36880
2018-07-01 07:00:00,2,42000
2018-07-01 08:00:00,1,42620
2018-07-01 09:00:00,5,29880
2018-07-01 10:00:00,4,31700
2018-07-01 11:00:00,10,43920
2018-07-01 12:00:00,7,55160
2018-07-01 13:00:00,10,64140
2018-07-01 14:00:00,5,55220
2018-07-01 15:00:00,11,52920
2018-07-01 16:00:00,10,59880
2018-07-01 17:00:00,7,48260
2018-07-01 18:00:00,5,46740
2018-07-01 19:00:00,5,46160
2018-07-01 20:00:00,9,50320
2018-07-01 21:00:00,5,57360
2018-07-01 22:00:00,2,66260
2018-07-01 23:00:00,0,54020
2018-07-02 00:00:00,0,55420
2018-07-02 01:00:00,1,52120
2018-07-02 02:00:00,2,59320
2018-07-02 03:00:00,4,51960
2018-07-02 04:00:00,2,46120
2018-07-02 05:00:00,5,60780
2018-07-02 06:00:00,4,53520
2018-07-02 07:00:00,3,41840
2018-07-02 08:00:00,8,36640
2018-07-02 09:00:00,12,47120
2018-07-02 10:00:00,8,63600
2018-07-02 11:00:00,14,85040
2018-07-02 12:00:00,13,112560
2018-07-02 13:00:00,10,118060
2018-07-02 14:00:00,14,108860
2018-07-02 15:00:00,7,114160
2018-07-02 16:00:00,13,127360
2018-07-02 17:00:00,11,171820
2018-07-02 18:00:00,7,243440
2018-07-02 19:00:00,7,227400
2018-07-02 20:00:00,3,214960
2018-07-02 21:00:00,5,216480
2018-07-02 22:00:00,1,191800
2018-07-02 23:00:00,1,175180
2018-07-03 00:00:00,5,151620
2018-07-03 01:00:00,2,149240
2018-07-03 02:00:00,10,165900
2018-07-03 03:00:00,0,140120
2018-07-03 04:00:00,4,107180
2018-07-03 05:00:00,7,76600
2018-07-03 06:00:00,5,53360
2018-07-03 07:00:00,8,46040
2018-07-03 08:00:00,7,41520
2018-07-03 09:00:00,7,51980
2018-07-03 10:00:00,7,79420
2018-07-03 11:00:00,6,116740
2018-07-03 12:00:00,15,122340
2018-07-03 13:00:00,13,116740
2018-07-03 14:00:00,12,121980
2018-07-03 15:00:00,13,108120
2018-07-03 16:00:00,12,116500
2018-07-03 17:00:00,4,106040
2018-07-03 18:00:00,7,96120
2018-07-03 19:00:00,10,93140
2018-07-03 20:00:00,3,75300
2018-07-03 21:00:00,4,85700
2018-07-03 22:00:00,6,94260
2018-07-03 23:00:00,5,65360
2018-07-04 00:00:00,5,60520
2018-07-04 01:00:00,2,60560
2018-07-04 02:00:00,0,61560
2018-07-04 03:00:00,1,51820
2018-07-04 04:00:00,6,41400
2018-07-04 05:00:00,1,38000
2018-07-04 06:00:00,3,28400
2018-07-04 07:00:00,5,30820
2018-07-04 08:00:00,4,24680
2018-07-04 09:00:00,8,25640
2018-07-04 10:00:00,8,38280
2018-07-04 11:00:00,7,60880
2018-07-04 12:00:00,7,71280
2018-07-04 13:00:00,5,64920
2018-07-04 14:00:00,2,63100
2018-07-04 15:00:00,3,65800
2018-07-04 16:00:00,11,66160
2018-07-04 17:00:00,4,52620
2018-07-04 18:00:00,5,53940
2018-07-04 19:00:00,5,54140
2018-07-04 20:00:00,1,74500
2018-07-04 21:00:00,2,63340
2018-07-04 22:00:00,7,46860
2018-07-04 23:00:00,7,40820
2018-07-05 00:00:00,2,35080
2018-07-05 01:00:00,2,30100
2018-07-05 02:00:00,2,32400
2018-07-05 03:00:00,4,29540
2018-07-05 04:00:00,1,29240
2018-07-05 05:00:00,3,28460
2018-07-05 06:00:00,8,30500
2018-07-05 07:00:00,1,27340
2018-07-05 08:00:00,7,24840
2018-07-05 09:00:00,7,29200
2018-07-05 10:00:00,10,41720
2018-07-05 11:00:00,11,46240
2018-07-05 12:00:00,14,54920
2018-07-05 13:00:00,7,65320
2018-07-05 14:00:00,9,84420
2018-07-05 15:00:00,7,69780
2018-07-05 16:00:00,12,62160
2018-07-05 17:00:00,9,62120
2018-07-05 18:00:00,8,147860
2018-07-05 19:00:00,5,156220
2018-07-05 20:00:00,7,176580
2018-07-05 21:00:00,9,113320
2018-07-05 22:00:00,1,104380
2018-07-05 23:00:00,2,94020
2018-07-06 00:00:00,2,91100
2018-07-06 01:00:00,3,90060
2018-07-06 02:00:00,3,75480
2018-07-06 03:00:00,1,60160
2018-07-06 04:00:00,4,44880
2018-07-06 05:00:00,7,41220
2018-07-06 06:00:00,7,35860
2018-07-06 07:00:00,5,35860
2018-07-06 08:00:00,11,35100
2018-07-06 09:00:00,12,44720
2018-07-06 10:00:00,11,68720
2018-07-06 11:00:00,7,86860
2018-07-06 12:00:00,16,82860
2018-07-06 13:00:00,9,86400
2018-07-06 14:00:00,11,99340
2018-07-06 15:00:00,11,119500
2018-07-06 16:00:00,3,97560
2018-07-06 17:00:00,4,82500
2018-07-06 18:00:00,5,75600
2018-07-06 19:00:00,3,65940
2018-07-06 20:00:00,4,67060
2018-07-06 21:00:00,5,86660
2018-07-06 22:00:00,3,165880
2018-07-06 23:00:00,3,145380
